PUID,ACCENUMB,CROPNAME,COLLMISSID,COLLNAME,COLLCODE,COLLINSTADDRESS,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,ACCENAME,SAMPSTAT,ANCEST,COLSRC,DONORNAME,DUPLINSTNAME,MLSSTAT
10.18730/6BVP4,24543,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Northern Areas, Northern Areas Centrally Administered Area, Northern Areas, Sildi",35.57,75.6,2320,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BVV9,24548,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Northern Areas, Northern Areas Centrally Administered Area, Northern Areas, Gwali",35.18,76.07,2440,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BVXB,24550,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Northern Areas, Northern Areas Centrally Administered Area, Northern Areas, Kurphak",35.19,76.1833,2500,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BW0E,24553,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Northern Areas, Northern Areas Centrally Administered Area, Northern Areas, Kustang",34.98,76.54,2680,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BW2G,24555,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Northern Areas, Northern Areas Centrally Administered Area, Northern Areas, Surmo",35.1181,76.475,2590,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BW3H,24556,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Northern Areas, Northern Areas Centrally Administered Area, Northern Areas, Parkutta",35.09,76,2260,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BW6M,24559,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Northern Areas, Northern Areas Centrally Administered Area, Northern Areas, Bagicha",34.9139,76.2069,2530,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BW7N,24560,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Northern Areas, Northern Areas Centrally Administered Area, Northern Areas, Sermi",35.18,75.9039,2560,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BWDV,24566,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"NWF, N.W.F.P. Province, Malakand Division, Buni",36.01,72,2130,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BWEW,24567,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"NWF, N.W.F.P. Province, Malakand Division, Zaid",35.97,71.9736,1830,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BWGY,24569,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"NWF, N.W.F.P. Province, Malakand Division, Shoghor",35.93,71.85,1770,8/1/1974,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6BWJ*,24571,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"NWF, N.W.F.P. Province, Malakand Division, Drosh",35.47,71.74,1280,8/1/1974,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/6BWM$,24573,Barley,PAK74,ICRISAT;UBL,GBR002;IND002,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"NWF, N.W.F.P. Province, Malakand Division, Dir",35.2,71.9,1310,8/1/1974,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/6BYHN,24634,Barley,NULL,USDA;USDA-BPI,,   USA;Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,DZA,"Batna, Biskra Province, , El-Outaya; edge of Sahara desert",35.0333,5.6,NULL,7/1/1901,;Telli,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C04=,24685,Barley,NULL,C-71,,Kashiwara Kawachi.   JPN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,JPN,"Kagawa-Ken, Shiga Prefecture, , ",34.2833,133.967,NULL,,;Kamamugi,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C0F9,24697,Barley,NULL,C-129,,Bozeman   USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,NPL,"Montana, Montana State, , ",47,-110,NULL,,;Nepal,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C16*,24720,Barley,NULL,C-447,,Brookings 57007   USA,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,TKM,"Mary, Mary Province, , Bairamalee; near Merv; eastern Turkestan",37.6167,62.1667,NULL,10/1/1908,;Merv,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C1QC,24737,Barley,NULL,,,Leh   IND,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,IND,"Jammu & Kashmir, Jammu and Kashmir State, Ladakh (Leh) District, Leh; Ladakh",34.1667,77.5833,3202,,;Leh,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C1ZM,24745,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,AZE,"Baku, Baki City, , Baku",40.4167,49.8333,NULL,5/23/1910,;Baku,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C2R8,24770,Barley,NULL,C-65,,Tokyo   JPN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,JPN,"Tokyo-to, Kochi Prefecture, , Nishigahara machi",35.75,139.75,NULL,,;Bodzu,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C30G,24778,Barley,NULL,C-107,,   BOL,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,BOL,"La Paz, La Paz Department, Pedro Domingo Murillo Province, La Paz",-16.5,-68.15,NULL,,;Kopeck,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C37Q,24786,Barley,NULL,C-233,,Williston   USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,USA,"North Dakota, North Dakota State, , ",46.8167,-100.817,NULL,,;Silver King,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C59F,24852,Barley,NULL,C-386,,St. Petersburg   RUS,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,KGZ,"Bishkek, Bishkek Region, , Pishpek District; Semiryetchensk Government",42.9,74.6,NULL,,;Kolter,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/6C5KS,24862,Barley,NULL,VIR-BAB,,Bolshaya Morskaya Str. 42 190000 St. Petersburg  RUS,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Leningrad, Krasnodar Territory, , ",46.3167,39.4,NULL,,;Nekludowi,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C5NV,24864,Barley,NULL,VIR-BAB,,Bolshaya Morskaya Str. 42 190000 St. Petersburg  RUS,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Leningrad, Krasnodar Territory, , ",46.3167,39.4,NULL,,;Erak,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C5YU,24873,Barley,NULL,C-108,,Callao   PER,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PER,"Cuzco, Cusco Department, , ",-12.5,-72.5,NULL,,;Tonot,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C601,24875,Barley,NULL,IARI,IND004,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,IND,"Bihar, Bihar State, Samastipur District, Pusa",25.9833,85.6833,NULL,,;Ederle,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C6EF,24889,Barley,NULL,C-5,,Sydney   AUS,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,AUS,"New South Wales, New South Wales State, , ",-32.8333,150.133,NULL,,;Archer,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C6JK,24893,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Zhejiang, Zhejiang Province, Taizhou Prefecture City, Sienku",28.8667,120.717,NULL,,;Chusein,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C7PJ,24929,Barley,NULL,C-45,,Cawnpore   IND,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,IND,"Uttar Pradesh, Uttaranchal State, Dehra Dun District, Dehra Dun",30.4167,77.9333,NULL,,;Dehra,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6C9RA,24997,Barley,NULL,C-255,,Pullman   USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,USA,"Washington, Washington State, , ",47,-120,NULL,,;Blue,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CA0J,25005,Barley,NULL,USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,BOL,"Oruro, Oruro Department, Cercado Province, Oruro",-17.7667,-67.4833,NULL,,;Bolivia,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CC08,25071,Barley,NULL,C-227,USA059,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,USA,"Minnesota, Minnesota State, , ",45,-93,NULL,,;PERSIA;Russia,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CC5D,25076,Barley,NULL,USDA-AF,,Arlington   USA,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,USA,"Virginia, Virginia State, , ",37.5333,-77.45,NULL,,;F 84,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CDQT,25126,Barley,NULL,C-43,,Cambridge   GBR,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,IRQ,"Baghdad, Baghdad Province, Adhamiya, Baghdad",33.3333,44.4333,NULL,,;NALIB,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/6CDY~,25133,Barley,NULL,C-449,,Lincol   USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,USA,"Nebraska, Nebraska State, , ",41.5,-100,NULL,,;Oderbrucker,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CENK,25156,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Zhejiang, Zhejiang Province, Jinhua Prefecture City, I-wu",29.3,120.05,NULL,,;Kaw,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CEQN,25158,Barley,NULL,C-29,,   DZA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,DZA,"Mostaganem, Mostaganem Province, , Mascara",36.0333,0.13333,NULL,,;OSIRIS,300,selection from PI 39590,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/6CEXV,25164,Barley,NULL,C-219,USA048,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,USA,"California, California State, , ",36.7667,-119.417,NULL,,;Argentine,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CFG9,25183,Barley,NULL,C-223,,Purdue   USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,USA,"Indiana, Indiana State, , ",39.7667,-86.15,NULL,,Wings Pedigree,300,NULL,NULL,USDA,SGSV,1
10.18730/6CFRH,25191,Barley,NULL,C-231,USA093,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,USA,"New York, New York State, , ",43,-75,NULL,,;HANNA,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CFSJ,25192,Barley,NULL,C-129,USA061,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,USA,"Montana, Montana State, , ",47,-110,NULL,,;Gold Foil,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CG7*,25206,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,CAN,"Saskatchewan, Saskatchewan Province, , Saskatoon",52.0667,-106.817,NULL,,English,300,NULL,NULL,USDA,SGSV,1
10.18730/6CH7V,25238,Barley,NULL,USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,GEO,"T'bilisi, Tbilisi Independent City, Tbilisi City, Tiflis; Caucasus",41.7167,44.7833,NULL,3/23/1910,;BLACK RUSSIAN,300,"selection from CI 705, PI 27829",NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/6CHH0,25248,Barley,NULL,C-158,,Pretoria   ZAF,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ZAF,"Transvaal, Mpumalanga Province, , ",-25,30,NULL,12/26/1911,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CJ0F,25264,Barley,NULL,C-45,,Cawnpore   IND,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,IND,"Uttar Pradesh, Uttar Pradesh State, Bulandshahr District, Bulandshahr",28.4,77.85,NULL,,;Nudideficiens,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CK8J,25306,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,UKR,"Crimea, Crimea Autonomous Republic, , ",44.95,34.0833,NULL,,EXEDRA,300,selection from PI 38535,NULL,USDA,SGSV,1
10.18730/6CKX2,25329,Barley,NULL,C-269,,Hwaiyan   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Anhui, Anhui Province, , ",32,117,NULL,,;Horsford,300,selection from PI 32484,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CMJQ,25351,Barley,NULL,,,Leh   IND,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,IND,"Jammu & Kashmir, Jammu and Kashmir State, Ladakh (Leh) District, Leh; Ladakh",34.1667,77.5833,3202,,;Galwan,300,selection from PI 26920,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CMKR,25352,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,USA,"California, California State, , ",36.7667,-119.417,NULL,,,400,selection from PI 27823 (?),40,USDA,INRA-MAR;SGSV,1
10.18730/6CMMS,25353,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS, (not aplicable (e.g. breeding material) or unknown),NULL,NULL,NULL,,,400,selection from PI 27823 (?),40,USDA,INRA-MAR;SGSV,1
10.18730/6CN22,25368,Barley,NULL,USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS,"Khabarovsk, Khabarovsk Territory, Khabarovskiy rayon District, From Khabarowsk Exp. Station",48.5,135.1,NULL,11/8/1906,;Frozoff,300,selection from PI 20375,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CNRR,25390,Barley,NULL,UNANKING,,Nanking   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Jiangsu, Jiangsu Province, , ",33.05,118.8,NULL,6/1/1917,;Nangmay,300,selection from PI 45041,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CNTT,25392,Barley,NULL,UNANKING,,Nanking   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Jiangsu, Jiangsu Province, , ",33.05,118.8,NULL,6/1/1917,;Mavnang,300,selection from PI 45042,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CP0*,25398,Barley,NULL,VIR-BAB,,Bolshaya Morskaya Str. 42 190000 St. Petersburg  RUS,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS, (not aplicable (e.g. breeding material) or unknown),NULL,NULL,NULL,,LUBIN,300,selection from PI 38307,NULL,USDA,SGSV,1
10.18730/6CP1~,25399,Barley,NULL,VIR-BAB,,Bolshaya Morskaya Str. 42 190000 St. Petersburg  RUS,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,RUS, (not aplicable (e.g. breeding material) or unknown),NULL,NULL,NULL,,KOBECK,300,selection from PI 38307,NULL,USDA,SGSV,1
10.18730/6CP2$,25400,Barley,NULL,VIR-BAB,,Bolshaya Morskaya Str. 42 190000 St. Petersburg  RUS,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,RUS, (not aplicable (e.g. breeding material) or unknown),NULL,NULL,NULL,,;NEWBLY,300,selection from PI 38307,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CPC7,25410,Barley,NULL,USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Gansu, Gansu Province, Gannan Tibetan Autonomous Prefecture, Kiucheng; near Taochow",34.6667,103.383,3355,11/28/1914,;Black Hull-less,300,"selection from CI 1097, PI 40652",NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CPGB,25414,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Fujian, Fujian Province, Xiamen Prefecture City, province of Amoy",24.45,118.083,NULL,,;Mulyan,300,selection from PI 41152,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CPHC,25415,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Fujian, Fujian Province, Xiamen Prefecture City, province of Amoy",24.45,118.083,NULL,,;Pegan,300,selection from PI 41152,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CPNG,25419,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Jiangsu, Jiangsu Province, Nantong Prefecture City, Jukao",32.3833,120.55,NULL,,;Malwet,300,selection from PI 39498,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CPQJ,25421,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Jiangsu, Jiangsu Province, , ",33.05,118.8,NULL,,;Wanfat,300,selection from PI 39499,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CPSM,25423,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Zhejiang, Zhejiang Province, Shaoxing Prefecture City, Shaohingfu",30,120.583,NULL,,;Fesun,300,selection from PI 39501,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CPTN,25424,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,CHN,"Zhejiang, Zhejiang Province, Shaoxing Prefecture City, Shaohingfu",30,120.583,NULL,,;Yatlong,300,selection from PI 39501,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CPZT,25429,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Zhejiang, Zhejiang Province, Ningbo Prefecture City, Wuyi",29.8833,121.767,NULL,,;Tambis,300,selection from PI 39515,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CQ1W,25431,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Jiangsu, Jiangsu Province, Suzhou Prefecture City, Kunshan",31.3833,120.95,NULL,,;Bano,300,"selection from CI 1065, PI 39521",NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CQ3Y,25433,Barley,NULL,C-106,,Amoy   CHN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Zhejiang, Zhejiang Province, Quzhou Prefecture City, Chuhsien",28.9667,118.867,NULL,,;Uncherne,300,selection from PI 39525,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CQ9U,25439,Barley,NULL,C-110,,La Guaira   VEN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,VEN,"Lara, Lara State, Iribarren Municipality, near Barquisimeto; Puerto Cabello",10.0667,-69.3333,NULL,,;Barquis,300,"selection from CI 1076, PI 39592",NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CQA0,25440,Barley,NULL,C-110,,La Guaira   VEN,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,VEN,"Lara, Lara State, Torres Municipality, ",10.1667,-69.75,NULL,,;Hanful,300,selection from PI 39592,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CQC2,25442,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,URY,"Montevideo, Montevideo Department, n.a354 Poblacion, Montevideo",-34.8833,-56.1833,NULL,,;Modia,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CQF5,25445,Barley,NULL,C-58,,Haifa   ISR,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ISR,"Hazafon, HaZafon District, , Ayelette Hashahar; near the Waters of Merom",33.0181,35.5831,NULL,,;Nebawi,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CRG1,25478,Barley,NULL,C-101,,Christiania   USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,NOR,"Sor-Trondelag, Sor-Trondelag County, Oppdal Municipality, Opdal; central high-mountain region",62.5,9.66667,NULL,,;Opdal,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CRM5,25483,Barley,NULL,C-101,,Christiania   USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,NOR,"Hedmark, Oppland County, Sor-Fron Municipality, eastern Norway; lower mountain valleys",61.5,10,NULL,,;Trysil cyg,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CT3F,25530,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PSE,"West Bank, West Bank District, Jerusalem Governorate, mountain country around Jerusalem",31.7833,35.2333,NULL,,;PALESTINE,300,selection from PI 25260,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CTJY,25546,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,USA,"Minnesota, Minnesota State, , ",45,-93,NULL,,;Canadian Lake Shore,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CVXU,25589,Barley,NULL,RBG-E,GBR095,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,CHN,"Xizang, Xizang Autonomous Region, Nagchu Prefecture, Tuna",32,90,4422,,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CWHK,25609,Barley,IND23,USDA;USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,IND,"Jammu & Kashmir, Jammu and Kashmir State, Kargil District, Garhi Kashmia",33,77,NULL,6/12/1923,;Garhi Kashmir,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CWTW,25618,Barley,NULL,C-212,,Ekaterinoslav   UKR,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,UKR,"Dnipropetrovsk, Dnipropetrovs'k Region, , ",48.5,35,NULL,,;Groushevka,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CWWY,25620,Barley,NULL,,,   DZA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,DZA,"Batna, Batna Province, , Menaa; Oued Abdi; Aures Mountains",35.1667,6.06667,NULL,,;SEFRA,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CXGD,25640,Barley,NULL,C-43,,Cambridge   GBR,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,GBR,"England, England Kingdom, , ",52.8333,-2.3,NULL,,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CYPE,25678,Barley,DZA23,USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,DZA,"Ouargla, Ouargla Province, , Market in Tuggurt; from Oasis of Tuggurt",33.1,6.06667,NULL,4/5/1923,,300,NULL,30,USDA,INRA-MAR;SGSV,1
10.18730/6CYWM,25684,Barley,DZA23,USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,DZA,"Biskra, Biskra Province, , Market in Biskra; grown in El Outaia",35.0331,5.59778,NULL,4/20/1923,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CYXN,25685,Barley,DZA23,USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,DZA,"Alger, Tipaza Province, , Market in Algiers",36.7725,3.04056,NULL,4/21/1923,,300,NULL,30,USDA,INRA-MAR;SGSV,1
10.18730/6CZA$,25698,Barley,IND23,USDA;USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Punjab, Punjab Province, Faisalabad Division, From Lyallpur Agric. College",31.4167,73.0833,NULL,7/16/1923,;Lyallpur,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CZG3,25704,Barley,IND23,USDA;USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Punjab, Punjab Province, Faisalabad Division, From Lyallpur Agric. College",31.4167,73.0833,NULL,7/16/1923,;Multan,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CZH4,25705,Barley,NULL,USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,PAK,"Punjab, F.C.T. Capital Territory, Islamabad Division, From Lyallpur Agric. Collage; originally from irrigated district near Rawalpindi",33.6667,73.1333,NULL,7/16/1923,;Gujarkhan,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/6CZQA,25711,Barley,IND23,USDA;USDA-BPI,,Beltsville Maryland  USA,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,IND,"Delhi, Delhi Union Territory, Delhi District, Delhi market",28.65,77.2333,NULL,6/4/1923,;Delhi,300,NULL,30,USDA,INRA-MAR;SGSV,1
